"","sido","cons","electorate","vote","turnout"
"242","충남","천안시갑",168135,94976,56.4879412376959
"243","충남","천안시병",147013,91005,61.9026888778543
"244","충남","천안시을",221716,134675,60.7421205506143
"245","충남","홍성군예산군",155224,97724,62.9567592640313
"246","충북","보은군옥천군영동군괴산군",152892,104823,68.560160113021
"247","충북","제천시단양군",142331,95826,67.3261622555873
"248","충북","증평군진천군음성군",180803,108155,59.8192507867679
"249","충북","청주시상당구",151173,98093,64.8879098780867
"250","충북","청주시서원구",169388,109940,64.9042435119371
"251","충북","청주시청원구",158171,97694,61.7647988569333
"252","충북","청주시흥덕구",218211,135919,62.2878773297405
"253","충북","충주시",180642,115405,63.8860287197883
