"행정구역별(1)",2019
"행정구역별(1)",국회의원수(지역구) (명)
"총계",253
"서울특별시",49
"부산광역시",18
"대구광역시",12
"인천광역시",13
"광주광역시",8
"대전광역시",7
"울산광역시",6
"세종특별자치시",2
"경기도",59
"강원도",8
"충청북도",8
"충청남도",11
"전라북도",10
"전라남도",10
"경상북도",13
"경상남도",16
"제주특별자치도",3
